MLSNumber,Category,Status,Type,DOM,CDOM,ListDate,Agreement of Sale/Signed Lease Date,OffMarketDate,SettledDate,OriginalPrice,List Price,SoldPrice,StreetNumber,StreetDirection,StreetName,UnitNumber,City,State,ZipCode,County,MLSArea,Township,SchoolDistrict,Subdivision,ListAgentName,ListAgentCode,ListOfficeName,ListOfficeCode,ListOfficePhone,SellingAgent,SellingAgentCode,SellingOfficeName,SellingOfficeCode,SellingOfficePhone,SellerConcessionsAmount,FinalFinancing,FinalShortSale,FinalThirdPartyApproval,FinalBankOwned,TaxAnnualTotal,TaxYear,AcresTotal,LandUseCode,Ownership,Senior Community YN,Condo/Coop Assoc YN,HOA YN,One-TimeAssociationFee,AssociationFee,AssociationFeeFrequency,Age,InteriorSqFt,PropertyCondition,Bedrooms,BathsFull,BathsHalf,Design,Style,NumberofStories,FloorNumber,Basement YN,GarageSpaces,Fireplace YN,Laundry,Other Rooms,RoomCount,Central Air YN,Waterfront YN,New Construction YN,ModelName,AdditionalBankOwned,AdditionalThirdPartyApproval,AdditionalShortSale,BuyerBrokerCompensation,SubAgentCompensation,TransactionBrokerCompensation,OriginatingMLS,AboveGradeSqFt,BelowGradeSqFt,HomeBuilt,BasementFootprintPct,BasementFinishedPct 
MDHW285808,RES,Active,,6,6,09/26/2020,,,,"$960,990","$960,990",,3351,,Jennings Chapel,SUNNYSIDE,Woodbine,MD,,HOWARDMD,,,,SQUARE WOODS,Timothy G McIntyre,23752,Keller Williams Integrity,KWR55,(443) 574-1600,,,,,,,,,,,10763.09,2020,3.2,,FeeSimple,No,No,No,,,,2020,3255,Excellent,4,3,2,Three,"Colonial,FarmhouseNationalFolk","Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,Yes,SUNNYSIDE,,,,3,3,,BRIGHT,3255,,Excellent,,
VAFX1157910,RES,Active,,6,44,09/26/2020,,,,"$799,900","$799,900",,1650,,Silver Hill,1703,Mclean,VA,3078,FAIRFAXVA,,,,NONE AVAILABLE,George S Koutsoukos,65591,"Long & Foster Real Estate, Inc.",LNG83,(703) 790-1990,,,,,,,,,,,0,2020,,,Condominium,No,Yes,No,,,,2019,875,Excellent,2,1,1,One,Contemporary,Main,1703,No,1,,,,,Yes,No,Yes,,,,,2.5,,,BRIGHT,875,0,Excellent,,
MDPG582178,RES,Active,,4,4,09/28/2020,,,,"$332,000","$332,000",,16606,,Old Cabin,,Accokeek,MD,3300,PRINCEGEORGESMD,,,,BELLEVUE ESTATES,Debra Roberts,3085842,"Long & Foster Real Estate, Inc.",LNG302,(301) 424-0900,,,,,,,,,,,3639,2019,0.46,011,FeeSimple,No,No,No,,,,1972,2148,VeryGood,3,3,,Two,Rancher,"Lower1,Main",,Yes,,Yes,"BsmtLaundry,HasLaundry,LowFlrLndry",,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1288,860,VeryGood,,
MDHW285800,RES,Active,,6,6,09/26/2020,,,,"$1,124,990","$1,124,990",,3351,,Jennings Chapel,ANNANDALE,Woodbine,MD,,HOWARDMD,,,,SQUARE WOODS,Timothy G McIntyre,23752,Keller Williams Integrity,KWR55,(443) 574-1600,,,,,,,,,,,12559.89,2020,3.2,,FeeSimple,No,No,No,,,,2019,4725,Excellent,4,3,2,Three,"Colonial,FarmhouseNationalFolk","Lower1,Main,Upper1",,Yes,2,Yes,MainFlrLndry,,,Yes,No,Yes,ANNANDALE,,,,3,3,,BRIGHT,4725,,Excellent,,
VALO422364,RES,Active,,6,6,09/26/2020,,,,"$5,100,000","$5,100,000",,22781,,Creighton Farms,,Leesburg,VA,6008,LOUDOUNVA,,,,ESTATES @ CREIGHTON FARM,William R Davis,12376,Century 21 New Millennium,CENT2003,(703) 818-0111,,,,,,,,,,,35340,2020,3.23,,FeeSimple,No,No,Yes,Monthly,440,Monthly,2008,18812,Excellent,8,9,4,Three,"French,Other","Lower1,Main,Upper1",,Yes,6,Yes,"MainFlrLndry,UpprFlrLndry",,,Yes,No,No,Custom,,,,3,,,BRIGHT,12812,6000,Excellent,,
DCDC488510,RES,Active,,5,5,09/27/2020,,,,"$799,900","$799,900",,638,,Rock Creek Church,,Washington,DC,1615,WASHINGTONDC,,,,COLUMBIA HEIGHTS,Michael W Seay Jr.,3109650,"Long & Foster Real Estate, Inc.",LNG336,(301) 229-4000,,,,,,,,,,,1954,2019,0.04,,FeeSimple,No,No,No,,,,1911,2578,,5,2,2,Four,Other,"Lower1,Main,Upper1,Upper2",,Yes,,Yes,,,,No,No,No,,,,,2.75,0,,BRIGHT,2034,544,,,
MDHW285798,RES,Active,,6,6,09/26/2020,,,,"$975,990","$975,990",,3351,,Jennings Chapel,HARWOOD,Woodbine,MD,,HOWARDMD,,,,SQUARE WOODS,Timothy G McIntyre,23752,Keller Williams Integrity,KWR55,(443) 574-1600,,,,,,,,,,,10931.09,2020,3.2,,FeeSimple,No,No,No,,,,2020,2569,Excellent,3,3,1,One,"FarmhouseNationalFolk,Rancher","Lower1,Main",,Yes,3,Yes,MainFlrLndry,,10,Yes,No,Yes,HARWOOD,,,,3,3,,BRIGHT,2569,,Excellent,,
DCDC488994,RES,Active,,6,6,09/26/2020,,,,"$484,900","$484,900",,1512,,Park,1,Washington,DC,2218,WASHINGTONDC,,,,COLUMBIA HEIGHTS,Joshua D Ross,142978,RE/MAX Realty Services,RBE3,(240) 403-0400,,,,,,,,,,,4016,2019,,,Condominium,No,Yes,No,,,,1900,1157,VeryGood,2,2,,One,CondoUnit,Main,1,No,,Yes,HasLaundry,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1157,0,VeryGood,,
MDMC727472,RES,Active,,6,6,09/26/2020,,,,"$400,000","$400,000",,1529,,Ivystone,,Silver Spring,MD,5400,MONTGOMERYMD,,,,OAK SPRINGS,Jim M Reid,4812,"Long & Foster Real Estate, Inc.",LNG302,(301) 424-0900,,,,,,,,,,,3769,2019,0.04,011,FeeSimple,No,No,Yes,SemiAnnually,424.5,SemiAnnually,1983,2190,Excellent,3,2,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,Yes,,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1540,650,Excellent,,
VAFX1150124,RES,Active,,6,6,09/26/2020,,,,"$479,000","$479,000",,4676,,Deerwatch,,Chantilly,VA,2262,FAIRFAXVA,,,,WALNEY VILLAGE,George M Brown II,3046413,Coldwell Banker Realty,CBRB66,(703) 524-2100,,,,,,,,,,,4606,2020,0.03,147,FeeSimple,No,No,Yes,Monthly,87,Monthly,2001,1584,,3,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1584,0,,,
VAPW505678,RES,Active,,1,1,10/01/2020,,,,"$274,900","$274,900",,14550,,Kylewood,,Gainesville,VA,6233,PRINCEWILLIAMVA,,,,PARKS AT PIEDMONT SOUTH,Jason D Jenkins,3086181,RE/MAX Agility,REAY1,(703) 996-4411,,,,,,,,,,,3147,2020,,028,Condominium,No,Yes,Yes,Monthly,132,Monthly,2005,1825,VeryGood,3,2,1,Four,BacktoBack,"Main,Upper1,Upper2,Upper3",,No,1,Yes,UpprFlrLndry,,,Yes,No,No,,,,,2.5,,,BRIGHT,1825,0,VeryGood,,
VAAR170316,RES,Active,,3,10,09/29/2020,,,,"$765,000","$765,000",,1816,N,George Mason,,Arlington,VA,3622,ARLINGTONVA,,,,TARA TOWNE,Aaron M Seekford,16903,"Arlington Realty, Inc.",ARL1,(703) 836-6000,,,,,,,,,,,7238,2020,0.07,004,FeeSimple,No,No,Yes,Annually,1465,Annually,1979,2319,,3,3,1,Three,Traditional,"Lower1,Main,Upper1",,Yes,,Yes,,,,Yes,No,No,,,,,2,,,BRIGHT,1546,773,,,100
VALO422254,RES,Active,,6,179,09/26/2020,,,,"$1,200,000","$1,200,000",,24042,,Whitten Farm,,Aldie,VA,2768,LOUDOUNVA,,,,CAROLINA ACRES,Lisa T Smith,3027869,"Pearson Smith Realty, LLC",PSTH1,(571) 386-1075,,,,,,,,,,,11211,2020,4.39,,FeeSimple,No,No,No,,,,2013,5898,Excellent,5,4,1,Three,Craftsman,"Lower1,Main,Upper1",,Yes,4,Yes,UpprFlrLndry,,,Yes,No,No,,,,,2.5,,,BRIGHT,4398,1500,Excellent,,
MDPG582644,RES,Active,,6,67,09/26/2020,,,,"$479,900","$479,900",,145,,Riverhaven,341,Oxon Hill,MD,1064,PRINCEGEORGESMD,,,,THE HAVEN,Stephen L Queen,126605,Bennett Realty Solutions,EXBR1,(301) 459-5040,,,,,,,,,,,0,2019,,011,Condominium,No,Yes,No,,,,2018,992,,2,2,,One,Contemporary,Main,3,No,1,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,992,0,,,
VAAR170226,RES,Active,,1,1,10/01/2020,,,,"$799,500","$799,500",,3617,,2Nd,,Arlington,VA,1711,ARLINGTONVA,,,,GLEBE MANOR,Tak Y Cheung,141546,"IMG REALTY, LLC",IMGR1,(703) 288-3128,,,,,,,,,,,6784,2020,0.11,004,FeeSimple,No,No,No,,,,1938,1379,,4,2,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,,Yes,BsmtLaundry,,,Yes,No,No,,,,,2.5,,,BRIGHT,1379,0,,,
VALO422380,RES,Active,,6,6,09/26/2020,,,,"$575,000","$575,000",,42469,,Redstone,,Brambleton,VA,5683,LOUDOUNVA,,,,BRAMBLETON LANDBAY 2,Lisa M Zuraw,13351,RE/MAX Select Properties,RMAX32,(703) 858-9108,,,,,,,,,,,5395,2020,0.13,,FeeSimple,No,No,Yes,Monthly,200.18,Monthly,2006,3136,,3,2,1,Three,Other,"Lower1,Main,Upper1,Upper2",,Yes,2,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,3136,0,,,
MDMC727058,RES,Active,,1,1,10/01/2020,,,,"$1,050,000","$1,050,000",,11400,,Toulone,,Potomac,MD,3140,MONTGOMERYMD,,,,LAKE NORMANDY ESTATES,Eric P Stewart,5496,"Long & Foster Real Estate, Inc.",LNG302,(301) 424-0900,,,,,,,,,,,9483,2019,0.39,011,FeeSimple,No,No,No,,,,1967,4016,Excellent,5,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,"HasLaundry,MainFlrLndry",,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,2882,1134,Excellent,,
VAAR170168,RES,Active,,2,2,09/30/2020,,,,"$895,000","$895,000",,2013,,Patrick Henry,,Arlington,VA,3044,ARLINGTONVA,,,,ARLINGTON,Robert G Spicer,5429,Spicer Real Estate,SPCR1,(301) 622-2222,,,,,,,,,,,7994,2020,0.18,004,FeeSimple,No,No,No,,,,1951,2259,VeryGood,4,2,0,Two,Rancher,"Lower1,Main",,Yes,,Yes,BsmtLaundry,,,Yes,No,No,,,,,18000,,,BRIGHT,1259,1000,VeryGood,,
MDPG578878,RES,Active,,6,6,09/26/2020,,,,"$415,000","$415,000",,8503,,Rhode Island,,College Park,MD,2429,PRINCEGEORGESMD,,,,BERWYN ADDN,Alexander J Heitkemper,3034142,"Long & Foster Real Estate, Inc.",LNG150,(301) 388-2600,,,,,,,,,,,4864,2019,0.13,011,FeeSimple,No,No,No,,,,1946,1550,Good,4,2,1,Three,CapeCod,"Lower1,Main,Upper1",,Yes,,Yes,BsmtLaundry,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1350,200,Good,,
MDMC727518,RES,Active,,6,6,09/26/2020,,,,"$212,000","$212,000",,3310,N,Leisure World,214-6,Silver Spring,MD,5660,MONTGOMERYMD,,,,LEISURE WORLD,LEDIO BABOCI,3082130,"Weichert, REALTORS",WEI28,(301) 681-0550,,,,,,,,,,,1967,2019,,011,Condominium,Yes,Yes,No,,,,1993,1317,,2,2,,One,Other,Main,2,No,,,,,,Yes,No,No,J,,,,2.5,2.5,,BRIGHT,1317,0,,,
MDMC727490,RES,Active,,1,1,10/01/2020,,,,"$445,000","$445,000",,2327,,Pinneberg,,Rockville,MD,1519,MONTGOMERYMD,,,,TWINBROOK FOREST,Christopher W Cramer,34001,"Long & Foster Real Estate, Inc.",LNG4,(301) 299-6000,,,,,,,,,,,5225,2019,0.23,011,FeeSimple,No,No,No,,,,1960,1231,VeryGood,3,1,1,Two,Rancher,"Lower1,Main",,Yes,,No,"BsmtLaundry,DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1231,0,VeryGood,,50
VAAX251484,RES,Active,,6,6,09/26/2020,,,,"$535,000","$535,000",,31,S,Early,,Alexandria,VA,6309,ALEXANDRIACITYVA,,,,CAMERON,John R Coughlin,22208,Resource Realty,RSRE1,(703) 330-2000,,,,,,,,,,,4310,2020,0.11,061,FeeSimple,No,No,No,,,,1955,1655,Excellent,4,3,,Three,Traditional,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1155,500,Excellent,,
MDMC727254,RES,Active,,6,6,09/26/2020,,,,"$210,000","$210,000",,12215,,Braxfield,5,Rockville,MD,2055,MONTGOMERYMD,,,,BETHESDA PARK,Mary E Tenca,112945,CENTURY 21 The Real Estate Centre,CREC3,(301) 963-7800,,,,,,,,,,,1895,2019,,011,Condominium,No,Yes,No,,,,1970,1007,,2,1,,One,Traditional,Main,1,No,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1007,0,,,
DCDC488908,RES,Active,,6,6,09/26/2020,,,,"$319,000","$319,000",,4000,,Cathedral,543B,Washington,DC,5249,WASHINGTONDC,,,,CATHEDRAL HEIGHTS,Kathleen L Battista,66197,"Cathedral Realty, LLC.",CTH1,(301) 656-1572,,,,,,,,,,,1,2019,,,Cooperative,No,Yes,No,,,,1931,1200,Average,1,1,,One,ArtDeco,Main,5,No,,,,,,Yes,No,No,Largest One Bedroom - One Bath,,,,3,0,,BRIGHT,1200,0,Average,,
DCDC488988,RES,Active,,6,6,09/26/2020,,,,"$865,000","$865,000",,2245,,Observatory,,Washington,DC,1813,WASHINGTONDC,,,,GLOVER PARK,Mary Hilliard,63713,"AGS Realty, Inc.",AGS1,(202) 333-1540,,,,,,,,,,,6755,2019,0.03,,FeeSimple,No,No,No,,,,1938,1518,VeryGood,4,2,,Three,Traditional,"Lower1,Main,Upper1",,Yes,,No,LowFlrLndry,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1118,400,VeryGood,,
VAFX1156878,RES,Active,,1,1,10/01/2020,,,,"$545,000","$545,000",,3156,,Delburne,,Fairfax,VA,2612,FAIRFAXVA,,,,CHESTERFIELD MEWS,Andres A Serafini,3006964,RLAH Real Estate,RLAH1,(301) 652-0643,,,,,,,,,,,5713,2020,0.05,147,FeeSimple,No,No,Yes,SemiAnnually,656.4,SemiAnnually,1980,1689,,3,2,2,Three,Traditional,"Lower1,Main,Upper1",,Yes,,Yes,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1689,0,,,
DCDC488872,RES,Active,,6,6,09/26/2020,,,,"$599,900","$599,900",,216,,T,1,Washington,DC,1542,WASHINGTONDC,,,,ECKINGTON,David L Moretz II,3054453,Nhabit Real Estate Co.,NHABIT1,(202) 670-5352,,,,,,,,,,,4569,2019,,,Condominium,No,Yes,No,,,,1939,1250,Excellent,2,2,,Three,Traditional,Main,1,Yes,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1250,0,Excellent,,
MDMC727508,RES,Active,,6,123,09/26/2020,,,,"$519,000","$519,000",,11710,,Old Georgetown,1521,Bethesda,MD,8601,MONTGOMERYMD,,,,THE GALLERY,Xinsheng Zhao Sr.,62599,Libra Realty LLC,LRL1,(301) 972-5588,,,,,,,,,,,5349,2019,,011,Condominium,No,Yes,No,,,,2001,1318,Excellent,2,2,0,One,DwellingwSeparateLivingArea,Main,15,No,2,Yes,DryerInUnit,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1318,0,Excellent,,
DCDC488978,RES,Active,,6,6,09/26/2020,,,,"$550,000","$550,000",,1810,,Calvert,4,Washington,DC,1968,WASHINGTONDC,,,,KALORAMA,Kristina Marie Burroughs,3306908,"Federated Realty, LLC",FEDRT1,(866) 581-8268,,,,,,,,,,,1422,2019,,,Condominium,No,Yes,No,,,,1900,876,VeryGood,1,1,1,Two,Federal,"Main,Upper1",2,No,,Yes,"DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,2.5,0,,BRIGHT,876,0,VeryGood,,
MDMC726624,RES,Active,,4,4,09/28/2020,,,,"$379,000","$379,000",,560,,Azalea,41,Rockville,MD,2001,MONTGOMERYMD,,,,REGENT SQUARE,Christine H Malich,65575,RE/MAX Town Center,RXTC2,(301) 637-9762,,,,,,,,,,,4172,2019,,011,Condominium,No,Yes,No,,,,1966,1320,,3,2,1,Two,Colonial,"Main,Upper1",,No,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1320,0,,,
DCDC488984,RES,Active,,6,6,09/26/2020,,,,"$691,900","$691,900",,2000,,Varnum,,Washington,DC,3318,WASHINGTONDC,,,,MICHIGAN PARK,Sharrod Q Robertson,89441,"Greenland Realty, LLC",GNLR1,(301) 313-9185,,,,,,,,,,,3771,2019,0.1,,FeeSimple,No,No,No,,,,1954,1844,,3,2,1,Two,"Bilevel,Colonial","Lower1,Main",,Yes,1,,,,,Yes,No,No,,,,,2.5,2.5,,BRIGHT,1044,800,,,
VAFX1157874,RES,Active,,1,1,10/01/2020,,,,"$785,000","$785,000",,1220,,I,,Alexandria,VA,1450,FAIRFAXVA,,,,NEW ALEXANDRIA,Sam Safaeian,73768,United Real Estate,URLE1,(703) 665-3544,,,,,,,,,,,6482,2020,0.24,132,FeeSimple,No,No,No,,,,1939,1900,VeryGood,3,3,,Two,CapeCod,"Main,Upper1",,No,2,Yes,,,3,Yes,No,No,,,,,2.5,,,BRIGHT,1900,0,VeryGood,,
MDPG582292,RES,Active,,6,72,09/26/2020,,,,"$329,900","$329,900",,14717,,Livingston,,Accokeek,MD,2811,PRINCEGEORGESMD,,,,SOUTH PISCATAWAY,Theodorsia Washington,79746,Axiom Realty LLC,AXIM1,(240) 229-1046,,,,,,,,,,,3113,2019,0.86,011,FeeSimple,No,No,No,,,,1988,960,Good,4,2,,Two,Colonial,"Lower1,Main",,Yes,,No,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,960,0,Good,,
DCDC488976,RES,Active,,6,6,09/26/2020,,,,"$850,000","$850,000",,4015,,Illinois,,Washington,DC,5927,WASHINGTONDC,,,,PETWORTH,Edward A Cunningham,67393,Fusion Realty,FUSI1,(301) 893-4539,,,,,,,,,,,4732,2019,0.04,,FeeSimple,No,No,No,,,,1916,2058,Good,4,1,2,Two,Colonial,"Lower1,Main,Upper1",,Yes,,No,BsmtLaundry,,,No,No,No,,,,,2.5,0,,BRIGHT,1511,547,Good,,
VAFX1157436,RES,Active,,5,5,09/27/2020,,,,"$439,000","$439,000",,1796,,Westwind,,Mclean,VA,1608,FAIRFAXVA,,,,THE WESTERLIES,Meera Abrishami,3296127,National Realty LLC,NATL1,(703) 860-4600,,,,,,,,,,,4269,2020,,075,Condominium,No,Yes,No,,,,1972,1138,,3,1,1,Two,MidCenturyModern,"Main,Upper1",,No,,,"MainFlrLndry,WasherInUnit",,,Yes,No,No,,,,,2.5,,,BRIGHT,1138,0,,,
VAFX1157864,RES,Active,,1,1,10/01/2020,,,,"$365,000","$365,000",,6131,,Rocky Way,,Centreville,VA,3415,FAIRFAXVA,,,,BARROS CIRCLE,Gayle T Bailey II,3013749,Keller Williams Realty,KWR4,(703) 815-5700,,,,,,,,,,,3631,2020,0.03,147,FeeSimple,No,No,Yes,Monthly,115,Monthly,1988,1722,,3,2,1,Three,Traditional,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,,,BRIGHT,1147,575,,,
MDMC727482,RES,Active,,6,6,09/26/2020,,,,"$139,000","$139,000",,10134,,Little Pond,#2,Gaithersburg,MD,,MONTGOMERYMD,,,,MILLS CHOICE CODM,Sonia L Grimaldi,3224849,"Heymann Realty, LLC",HEYR1,(301) 439-1180,,,,,,,,,,,1109.51,2021,,,Condominium,No,Yes,No,,,,1968,1056,VeryGood,2,2,,One,CondoUnit,Main,1,No,,No,"DryerInUnit,WasherInUnit",,4,Yes,No,No,,,,,2.5,0,,BRIGHT,1056,,VeryGood,,
VAFX1156310,RES,Active,,6,6,09/26/2020,,,,"$879,000","$879,000",,4205,,Muir,,Alexandria,VA,1117,FAIRFAXVA,,,,PARKLAWN,BichLong Nguyen,3046605,"Westgate Realty Group, Inc.",WEST1,(703) 208-9999,,,,,,,,,,,9645,2020,0.24,132,FeeSimple,No,No,No,,,,2009,4056,VeryGood,5,5,1,Two,Colonial,"Main,Upper1,Upper2",,No,2,Yes,,,,Yes,No,No,,,,,2.5,,,BRIGHT,4056,0,VeryGood,,
DCDC488980,RES,Active,,6,6,09/26/2020,,,,"$549,900","$549,900",,353,,O,,Washington,DC,3929,WASHINGTONDC,,,,WATER FRONT,Justin T Paulhamus,3003489,"4J Real Estate, LLC.",JREALE,(202) 600-0288,,,,,,,,,,,0,2020,,,Cooperative,No,Yes,No,,,,1962,1858,,3,1,1,Two,MidCenturyModern,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1240,618,,,80
VAFX1157750,RES,Active,,6,6,09/26/2020,,,,"$695,000","$695,000",,5907,,Erving,,Springfield,VA,3735,FAIRFAXVA,,,,SPRINGFIELD,Richard S Crespo,3017912,"One World Realty, LLC",OWOR1,(703) 338-2228,,,,,,,,,,,6105,2020,0.21,132,FeeSimple,No,No,No,,,,1952,3192,,6,3,,Two,Rancher,"Lower1,Main,Upper1",,Yes,,,,,,Yes,No,No,,,,,3,,,BRIGHT,2192,1000,,,100
VAPW505734,RES,Active,,6,14,09/26/2020,,,,"$590,000","$590,000",,11770,,Target,,Woodbridge,VA,5735,PRINCEWILLIAMVA,,,,CANNON BLUFF,Philip Senkus,3059566,"INK Homes and Lifestyle, LLC.",INKH1,(540) 372-7777,,,,,,,,,,,6335,2020,1.53,,FeeSimple,No,No,Yes,Annually,60,Annually,1984,3456,,4,3,1,Three,Colonial,"Lower1,Main,Upper1",,Yes,2,Yes,Hookup,,,Yes,No,No,,,,,2.5,,,BRIGHT,2502,954,,,
DCDC488826,RES,Active,,6,6,09/26/2020,,,,"$295,000","$295,000",,3114,,Wisconsin,502,Washington,DC,5016,WASHINGTONDC,,,,CLEVELAND PARK,Lucy A Hassell,5446,"Long & Foster Real Estate, Inc.",LNG147,(202) 364-1300,,,,,,,,,,,2036.28,2019,,,Cooperative,No,Yes,No,,,,1964,850,VeryGood,1,1,,One,Other,Main,5,No,,No,"BsmtLaundry,Common",,,Yes,No,No,,,,,2.75,2.75,,BRIGHT,850,0,VeryGood,,
VAPW505412,RES,Active,,6,6,09/26/2020,,,,"$362,500","$362,500",,403,,Fortress,,Occoquan,VA,7700,PRINCEWILLIAMVA,,,,BARRINGTON POINTE CONDOS,Marianne Jordan,21955,RE/MAX Gateway,RMAX152,(703) 871-9300,,,,,,,,,,,3519,2020,,027,Condominium,No,Yes,Yes,Unknown,0,Unknown,1990,1627,VeryGood,3,3,0,Two,Colonial,"Main,Upper1",1,No,,Yes,,,,Yes,No,No,,,,,3,,,BRIGHT,1627,0,VeryGood,,
VAAX251482,RES,Active,,6,20,09/26/2020,,,,"$625,000","$625,000",,1312,,Commonwealth,,Alexandria,VA,,ALEXANDRIACITYVA,,,,DEL RAY,Daniel MacDonald,3058222,TTR Sotheby's International Realty,TTRS8,(703) 745-1212,,,,,,,,,,,7138,2020,0.05,,FeeSimple,No,No,No,,,,1957,1200,Good,3,1,1,Two,Traditional,"Main,Upper1",,No,,,"DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,2.5,,,BRIGHT,1200,,Good,,
DCDC488108,RES,Active,,6,129,09/26/2020,,,,"$675,000","$675,000",,140,SE,Wilmington,,Washington,DC,6160,WASHINGTONDC,,,,CONGRESS HEIGHTS,Donice M Jeter,44262,"Long & Foster Real Estate, Inc.",LNG1,(301) 907-7600,,,,,,,,,,,2500,2019,0.26,,FeeSimple,No,No,No,,,,1951,1933,"BelowAverage,MajorRehabNeeded",3,2,,TwoandaHalf,CapeCod,"Main,Upper1",,Yes,,Yes,,,,No,No,No,,,,,3,3,,BRIGHT,1356,577,"BelowAverage,MajorRehabNeeded",,
DCDC488680,RES,Active,,2,2,09/30/2020,,,,"$624,900","$624,900",,621,,16Th,1,Washington,DC,4560,WASHINGTONDC,,,,KINGMAN PARK,Mehrnaz Bazargan,3106942,Redfin Corp,REFC3,(202) 759-7581,,,,,,,,,,,4281,2019,,,Condominium,No,Yes,No,,,,1900,1669,,3,2,1,Two,Contemporary,"Main,Upper1",1,No,,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,1669,0,,,
VAFX1151116,RES,Active,,6,6,09/26/2020,,,,"$270,000","$270,000",,5802,,Torington,D,Springfield,VA,1057,FAIRFAXVA,,,,CARDINAL FOREST,James L Roy,58161,"LuxManor Real Estate, Inc",LXRE1,(301) 986-8000,,,,,,,,,,,2437,2020,,038,FeeSimple,No,Yes,No,,,,1968,961,Excellent,2,1,,One,Traditional,Main,1,No,,No,"DryerInUnit,MainFlrLndry,WasherInUnit",,,Yes,No,No,,,,,2.75,,,BRIGHT,961,0,Excellent,,
MDMC727458,RES,Active,,6,29,09/26/2020,,,,"$204,900","$204,900",,10401,,Grosvenor,217,Rockville,MD,4629,MONTGOMERYMD,,,,GROSVENOR PARK,Sean D Summerall,140680,RE/MAX Town Center,RXTC2,(301) 637-9762,,,,,,,,,,,2018,2019,,011,Condominium,No,Yes,No,,,,1966,893,,1,1,,One,Transitional,Main,1,No,,,,,,No,No,No,,,,,2.5,0,,BRIGHT,893,0,,,
MDMC727494,RES,Active,,1,1,10/01/2020,,,,"$420,000","$420,000",,1107,,Brantford,,Silver Spring,MD,2012,MONTGOMERYMD,,,,WHITE OAK,Tiffanyanne Tomlinson,3269881,Keller Williams Capital Properties,KWCP1,(202) 243-7700,,,,,,,,,,,4148,2019,0.34,,FeeSimple,No,No,No,,,,1959,2106,,3,1,1,Two,Bilevel,"Lower1,Main",,Yes,1,,,,,Yes,No,No,,,,,2.5,0,,BRIGHT,2106,0,,,
VAPW505654,RES,Active,,6,6,09/26/2020,,,,"$330,000","$330,000",,2766,,Bixby,,Woodbridge,VA,1251,PRINCEWILLIAMVA,,,,DALE CITY GIDEON SQUARE,Sonia M Baires Castro,3286037,Coldwell Banker Realty,CBRB63,(703) 763-1950,,,,,,,,,,,3206,2020,0.04,144,FeeSimple,No,No,Yes,Quarterly,197,Quarterly,1987,1883,,4,2,1,Three,Contemporary,"Lower1,Main,Upper1",,Yes,,No,BsmtLaundry,,,Yes,No,No,,,,,2.5,,,BRIGHT,1380,503,,,
MDMC727020,RES,Active,,6,6,09/26/2020,,,,"$190,000","$190,000",,12700,,Veirs Mill,55-2,Rockville,MD,3504,MONTGOMERYMD,,,,PARK TERRACE,Sarah E Toppins,5685,"Long & Foster Real Estate, Inc.",LNG1,(301) 907-7600,,,,,,,,,,,1798,2019,,011,Condominium,No,Yes,No,,,,1973,1213,Good,1,1,,One,CondoUnit,Main,1,No,,No,"DryerInUnit,WasherInUnit",,,Yes,No,No,,,,,3,3,,BRIGHT,1213,0,Good,,
